x,y,height,momentum_x
0.005,0.005,7.2683,21.2175
0.015,0.005,7.2683,21.2175
0.025,0.005,7.26829,21.2175
0.035,0.005,7.26829,21.2176
0.045,0.005,7.26829,21.2176
0.055,0.005,7.26829,21.2175
0.065,0.005,7.26829,21.2175
0.075,0.005,7.2683,21.2175
0.085,0.005,7.2683,21.2175
0.095,0.005,7.2683,21.2175
0.105,0.005,7.26831,21.2175
0.115,0.005,7.26831,21.2174
0.125,0.005,7.26831,21.2174
0.135,0.005,7.26832,21.2174
0.145,0.005,7.26832,21.2174
0.155,0.005,7.26833,21.2173
0.165,0.005,7.26833,21.2173
0.175,0.005,7.26833,21.2173
0.185,0.005,7.26834,21.2173
0.195,0.005,7.26834,21.2172
0.205,0.005,7.26835,21.2172
0.215,0.005,7.26835,21.2172
0.225,0.005,7.26836,21.2172
0.235,0.005,7.26836,21.2172
0.245,0.005,7.26836,21.2171
0.255,0.005,7.26837,21.2171
0.265,0.005,7.26837,21.2171
0.275,0.005,7.26838,21.2171
0.285,0.005,7.26838,21.217
0.295,0.005,7.26839,21.217
0.305,0.005,7.26839,21.217
0.315,0.005,7.26839,21.217
0.325,0.005,7.2684,21.2169
0.335,0.005,7.2684,21.2169
0.345,0.005,7.26841,21.2169
0.355,0.005,7.26841,21.2169
0.365,0.005,7.26841,21.2169
0.375,0.005,7.26842,21.2168
0.385,0.005,7.26842,21.2168
0.395,0.005,7.26842,21.2168
0.405,0.005,7.26843,21.2168
0.415,0.005,7.26843,21.2167
0.425,0.005,7.26844,21.2167
0.435,0.005,7.26844,21.2167
0.445,0.005,7.26844,21.2167
0.455,0.005,7.26845,21.2167
0.465,0.005,7.26845,21.2166
0.475,0.005,7.26846,21.2166
0.485,0.005,7.26846,21.2166
0.495,0.005,7.26846,21.2166
0.505,0.005,7.26847,21.2165
0.515,0.005,7.26847,21.2165
0.525,0.005,7.26848,21.2165
0.535,0.005,7.26848,21.2165
0.545,0.005,7.26849,21.2164
0.555,0.005,7.26849,21.2164
0.565,0.005,7.26849,21.2164
0.575,0.005,7.2685,21.2164
0.585,0.005,7.2685,21.2164
0.595,0.005,7.26851,21.2163
0.605,0.005,7.26851,21.2163
0.615,0.005,7.26852,21.2163
0.625,0.005,7.26852,21.2163
0.635,0.005,7.26852,21.2163
0.645,0.005,7.26852,21.2162
0.655,0.005,7.26852,21.2162
0.665,0.005,7.26852,21.2162
0.675,0.005,7.26852,21.2162
0.685,0.005,7.26853,21.2162
0.695,0.005,7.26853,21.2162
0.705,0.005,7.26853,21.2162
0.715,0.005,7.26853,21.2162
0.725,0.005,7.26853,21.2162
0.735,0.005,7.26853,21.2162
0.745,0.005,7.26853,21.2162
0.755,0.005,7.26853,21.2162
0.765,0.005,7.26853,21.2162
0.775,0.005,7.26853,21.2162
0.785,0.005,7.26853,21.2162
0.795,0.005,7.26853,21.2162
0.805,0.005,7.26853,21.2162
0.815,0.005,7.26853,21.2162
0.825,0.005,7.26853,21.2162
0.835,0.005,7.26853,21.2162
0.845,0.005,7.26853,21.2162
0.855,0.005,7.26853,21.2162
0.865,0.005,7.26854,21.2162
0.875,0.005,7.26854,21.2162
0.885,0.005,7.26854,21.2162
0.895,0.005,7.26854,21.2162
0.905,0.005,7.26854,21.2162
0.915,0.005,7.26854,21.2162
0.925,0.005,7.26854,21.2162
0.935,0.005,7.26854,21.2162
0.945,0.005,7.26854,21.2162
0.955,0.005,7.26854,21.2162
0.965,0.005,7.26854,21.2162
0.975,0.005,7.26854,21.2162
0.985,0.005,7.26854,21.2162
0.995,0.005,7.26854,21.2162
1.005,0.005,7.26854,21.2162
1.015,0.005,7.26855,21.2162
1.025,0.005,7.26855,21.2161
1.035,0.005,7.26855,21.2161
1.045,0.005,7.26855,21.2161
1.055,0.005,7.26855,21.2161
